Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
320	460	0	90	34.17	122.17	103.05	56.37	52.67	11.18	35.46	34.04	2.30	14.83	0.83	0.024	12.52	3.37	0.27
320	480	0	90	36.19	120.32	101.60	56.11	52.20	11.12	34.85	33.28	2.28	14.63	0.83	0.024	13.55	3.36	0.25
320	500	0	90	32.85	115.97	97.72	54.18	50.73	10.85	33.69	31.55	1.97	16.05	0.83	0.023	16.96	3.33	0.20
320	520	0	90	29.41	110.08	92.52	51.12	47.93	10.28	32.05	30.10	1.70	17.70	0.83	0.022	16.73	3.04	0.18
320	540	0	90	30.08	101.74	85.71	47.99	44.51	9.57	29.73	27.50	1.73	15.91	0.83	0.020	13.49	2.77	0.21
320	560	0	90	24.53	93.61	78.88	43.37	40.63	8.74	27.20	25.78	1.57	16.46	0.83	0.019	15.21	2.64	0.17
320	580	0	90	24.23	84.67	71.42	39.10	36.54	7.88	24.51	23.62	1.37	17.27	0.83	0.017	14.61	2.30	0.16
320	600	0	90	19.54	73.81	62.17	33.96	32.02	6.92	21.70	20.09	1.10	18.24	0.83	0.014	14.08	1.90	0.13
320	620	0	90	16.87	63.33	53.45	29.14	27.25	5.90	18.79	17.30	1.07	16.20	0.83	0.012	14.69	1.61	0.11
320	640	0	90	13.43	52.72	44.37	23.89	22.65	4.91	15.90	14.17	0.89	15.84	0.83	0.010	12.25	1.24	0.10
320	660	0	90	9.57	40.47	33.68	19.18	18.34	3.99	13.11	9.03	0.70	12.84	0.82	0.007	9.12	0.74	0.08
320	680	0	90	8.47	32.02	26.70	15.75	14.76	3.22	10.76	6.50	0.62	10.44	0.81	0.006	7.09	0.51	0.07
320	700	0	90	8.05	25.76	21.60	12.89	11.78	2.57	8.75	5.22	0.58	9.05	0.81	0.005	5.99	0.41	0.07
340	700	0	90	5.96	24.74	20.65	12.36	11.46	2.50	8.32	4.97	0.47	10.56	0.81	0.004	7.12	0.39	0.05
340	680	0	90	8.12	30.59	25.57	15.33	14.20	3.09	10.20	6.19	0.57	10.84	0.81	0.005	6.60	0.49	0.07
340	660	0	90	9.08	38.55	32.12	18.97	17.76	3.85	12.50	8.28	0.68	12.16	0.82	0.007	8.67	0.69	0.08
340	640	0	90	11.77	49.73	41.68	22.80	21.73	4.71	14.95	13.05	0.77	16.89	0.83	0.009	13.50	1.22	0.09
340	620	0	90	15.20	59.94	50.41	27.34	25.93	5.62	17.66	16.35	0.86	18.90	0.83	0.011	17.04	1.52	0.09
340	600	0	90	18.60	69.39	58.36	32.03	30.33	6.56	20.36	18.69	1.13	16.55	0.83	0.013	12.05	1.70	0.14
340	580	0	90	20.21	79.95	67.45	37.02	34.57	7.46	23.02	22.36	1.31	17.04	0.84	0.016	14.51	2.22	0.15
340	560	0	90	21.78	90.88	76.46	40.64	38.91	8.40	25.64	26.33	1.29	20.37	0.84	0.017	17.46	2.70	0.15
340	540	0	90	26.70	97.68	82.35	45.64	42.46	9.14	27.94	27.28	1.65	16.57	0.83	0.019	15.53	2.83	0.18
340	520	0	90	28.70	104.92	88.23	48.10	45.45	9.77	30.00	29.47	1.57	18.72	0.84	0.020	14.64	2.99	0.20
340	500	0	90	32.46	109.65	92.29	50.77	47.97	10.27	31.66	30.01	1.83	16.43	0.83	0.022	15.01	3.21	0.21
340	480	0	90	30.86	112.09	93.67	50.99	49.58	10.58	32.64	29.87	1.86	16.02	0.83	0.022	14.62	3.04	0.21
340	460	0	90	29.67	115.96	97.77	54.19	50.49	10.75	33.36	32.10	1.84	17.44	0.83	0.023	14.43	3.18	0.22
340	440	0	90	30.15	118.91	100.27	54.25	51.09	10.87	34.07	33.74	1.79	18.83	0.84	0.023	17.07	3.39	0.20
340	420	0	90	33.90	122.93	104.02	55.96	51.96	11.04	34.82	36.15	2.00	18.05	0.84	0.025	14.57	3.49	0.24
340	400	0	90	31.66	121.43	102.32	55.58	52.26	11.07	35.18	33.99	1.86	18.24	0.83	0.024	13.52	3.11	0.23
340	380	0	90	30.45	121.60	102.43	56.06	52.31	11.06	35.37	33.92	2.00	16.97	0.83	0.023	14.03	3.19	0.23
340	360	0	90	32.70	122.44	103.38	56.17	52.59	11.13	35.81	34.04	2.06	16.53	0.83	0.024	14.66	3.17	0.22
340	340	0	90	30.64	123.25	103.63	56.05	53.12	11.22	35.99	34.14	1.71	19.92	0.84	0.023	13.34	3.25	0.24
340	320	0	90	33.08	123.76	103.92	55.53	52.95	11.18	36.27	34.54	2.01	17.18	0.84	0.023	13.49	3.41	0.25
340	300	0	90	33.07	122.61	103.50	55.62	52.23	11.02	36.03	34.35	2.09	16.41	0.83	0.025	14.29	3.46	0.24
340	280	0	90	31.11	121.45	102.28	54.60	51.67	10.91	35.65	34.13	2.05	16.67	0.83	0.024	13.86	3.43	0.25
340	260	0	90	31.57	120.99	101.88	53.58	51.25	10.82	35.34	34.40	2.13	16.12	0.83	0.024	13.85	3.44	0.25
340	240	0	90	34.08	120.76	102.29	55.01	51.10	10.80	35.12	34.54	1.95	17.72	0.83	0.025	17.01	3.38	0.20
340	220	0	90	30.84	118.80	100.52	55.51	51.03	10.79	34.93	32.84	2.01	16.30	0.83	0.023	12.80	3.13	0.24
340	200	0	90	28.35	117.80	99.04	53.33	50.62	10.71	34.78	32.40	1.85	17.51	0.83	0.022	13.59	2.83	0.21
340	180	0	90	29.05	117.95	99.70	54.21	50.61	10.73	34.92	32.42	1.97	16.45	0.83	0.023	10.86	2.59	0.24
340	160	0	90	31.49	118.34	100.01	55.45	51.20	10.88	35.03	32.11	2.17	14.77	0.83	0.022	10.18	2.51	0.25
340	140	0	90	27.39	119.88	100.93	54.43	51.65	11.00	34.94	33.29	1.70	19.58	0.84	0.022	10.72	2.41	0.22
