Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
350	350	0	0	4.37	18.99	16.15	5.82	5.81	1.59	8.81	4.37	0.49	8.86	0.83	0.003	5.07	0.33	0.06
350	400	0	0	4.17	18.11	15.41	5.51	5.5	1.5	8.43	4.18	0.47	8.85	0.83	0.003	5.08	0.31	0.06
350	450	0	0	3.98	17.18	14.62	5.19	5.18	1.41	8.02	3.98	0.45	8.8	0.83	0.003	5.06	0.3	0.06
350	500	0	0	3.73	16.19	13.79	4.85	4.84	1.32	7.59	3.76	0.42	8.91	0.83	0.003	5.12	0.28	0.06
350	550	0	0	3.5	15.19	12.95	4.51	4.5	1.22	7.14	3.54	0.4	8.77	0.83	0.003	5.04	0.27	0.05
350	600	0	0	3.25	14.11	12.03	4.16	4.15	1.12	6.65	3.31	0.37	8.84	0.83	0.002	5.06	0.25	0.05
350	650	0	0	3.01	13.11	11.19	3.82	3.81	1.03	6.21	3.09	0.35	8.83	0.83	0.002	5.08	0.23	0.05
350	700	0	0	2.79	12.15	10.37	3.51	3.5	0.94	5.78	2.87	0.32	8.88	0.83	0.002	5.08	0.22	0.04
350	750	0	0	2.58	11.21	9.58	3.2	3.19	0.86	5.36	2.66	0.3	8.89	0.83	0.002	5.09	0.2	0.04
350	800	0	0	2.37	10.32	8.82	2.91	2.91	0.78	4.96	2.46	0.28	8.91	0.83	0.002	5.05	0.18	0.04
350	850	0	0	2.18	9.48	8.11	2.65	2.64	0.71	4.57	2.27	0.25	9.03	0.83	0.002	5.1	0.17	0.03
400	50	0	0	5.35	23.21	19.7	7.32	7.3	2	10.63	5.28	0.6	8.82	0.83	0.004	5.01	0.4	0.08
400	100	0	0	5.32	23.07	19.6	7.28	7.26	1.99	10.57	5.25	0.6	8.75	0.83	0.004	5.05	0.39	0.08
400	150	0	0	5.25	22.78	19.35	7.17	7.15	1.96	10.44	5.18	0.6	8.71	0.83	0.004	5	0.39	0.08
400	200	0	0	5.15	22.32	18.96	7.01	6.99	1.92	10.24	5.09	0.59	8.67	0.83	0.004	5.01	0.38	0.08
400	250	0	0	5.02	21.72	18.46	6.79	6.78	1.86	9.99	4.96	0.57	8.77	0.83	0.004	5.05	0.37	0.07
400	300	0	0	4.85	21	17.85	6.54	6.52	1.79	9.68	4.8	0.55	8.72	0.83	0.003	5.02	0.36	0.07
400	350	0	0	4.67	20.16	17.14	6.24	6.22	1.7	9.31	4.62	0.53	8.7	0.83	0.003	5.02	0.35	0.07
400	400	0	0	4.43	19.22	16.35	5.91	5.89	1.61	8.91	4.42	0.5	8.86	0.83	0.003	5.07	0.33	0.07
400	450	0	0	4.2	18.24	15.52	5.56	5.55	1.51	8.48	4.21	0.48	8.81	0.83	0.003	5.08	0.32	0.06
400	500	0	0	3.96	17.2	14.65	5.2	5.19	1.41	8.03	3.98	0.45	8.81	0.83	0.003	5.05	0.3	0.06
400	550	0	0	3.74	16.14	13.75	4.84	4.83	1.31	7.56	3.75	0.42	8.85	0.83	0.003	5.03	0.28	0.06
400	600	0	0	3.47	15.07	12.85	4.47	4.46	1.21	7.09	3.52	0.39	8.92	0.83	0.002	5.09	0.26	0.05
400	650	0	0	3.21	13.96	11.91	4.1	4.09	1.1	6.59	3.28	0.37	8.8	0.83	0.002	5.07	0.25	0.05
400	700	0	0	2.97	12.94	11.04	3.76	3.75	1.01	6.14	3.05	0.34	8.88	0.83	0.002	5.1	0.23	0.04
400	750	0	0	2.75	11.96	10.22	3.44	3.43	0.92	5.7	2.83	0.32	8.89	0.83	0.002	5.1	0.21	0.04
400	800	0	0	2.53	11.02	9.42	3.14	3.13	0.84	5.27	2.62	0.29	9.02	0.83	0.002	5.11	0.2	0.04
400	850	0	0	2.33	10.15	8.68	2.86	2.85	0.76	4.88	2.42	0.27	8.94	0.83	0.002	5.08	0.18	0.04
450	50	0	0	5.57	24.1	20.45	7.66	7.64	2.1	10.99	5.46	0.63	8.69	0.83	0.004	4.99	0.41	0.08
450	100	0	0	5.54	23.97	20.35	7.62	7.6	2.09	10.94	5.43	0.63	8.67	0.83	0.004	4.99	0.41	0.08
450	150	0	0	5.47	23.66	20.09	7.51	7.49	2.06	10.81	5.37	0.62	8.7	0.83	0.004	5.02	0.4	0.08
450	200	0	0	5.37	23.2	19.7	7.34	7.32	2.01	10.61	5.27	0.61	8.66	0.83	0.004	5.02	0.4	0.08
450	250	0	0	5.21	22.57	19.17	7.11	7.1	1.95	10.34	5.13	0.59	8.74	0.83	0.004	5.02	0.39	0.08
450	300	0	0	5.04	21.84	18.56	6.85	6.83	1.87	10.03	4.98	0.57	8.72	0.83	0.004	5.04	0.37	0.07
450	350	0	0	4.86	20.98	17.83	6.54	6.52	1.79	9.66	4.8	0.55	8.69	0.83	0.003	5.01	0.36	0.07
450	400	0	0	4.64	20.03	17.03	6.2	6.19	1.69	9.25	4.59	0.53	8.69	0.83	0.003	5.01	0.35	0.07
450	450	0	0	4.39	19.02	16.18	5.85	5.83	1.59	8.82	4.37	0.5	8.8	0.83	0.003	5.05	0.33	0.07
450	500	0	0	4.14	17.95	15.27	5.47	5.46	1.49	8.35	4.14	0.47	8.8	0.83	0.003	5.07	0.31	0.06
450	550	0	0	3.88	16.87	14.36	5.09	5.08	1.38	7.88	3.91	0.44	8.89	0.83	0.003	5.06	0.29	0.06
450	600	0	0	3.65	15.78	13.45	4.72	4.71	1.28	7.4	3.67	0.42	8.77	0.83	0.003	5.03	0.28	0.05
450	650	0	0	3.36	14.64	12.48	4.34	4.33	1.17	6.89	3.42	0.39	8.83	0.83	0.002	5.07	0.26	0.05
450	700	0	0	3.12	13.6	11.6	3.99	3.98	1.07	6.43	3.19	0.36	8.88	0.83	0.002	5.09	0.24	0.05
450	750	0	0	2.9	12.6	10.76	3.66	3.65	0.98	5.98	2.97	0.34	8.85	0.83	0.002	5.06	0.22	0.04
450	800	0	0	2.67	11.65	9.95	3.34	3.33	0.89	5.55	2.76	0.31	8.9	0.83	0.002	5.11	0.21	0.04
450	850	0	0	2.47	10.75	9.18	3.05	3.04	0.81	5.15	2.56	0.29	8.87	0.83	0.002	5.07	0.19	0.04
500	50	0	0	5.65	24.48	20.77	7.82	7.8	2.14	11.14	5.54	0.64	8.64	0.83	0.004	4.98	0.42	0.08
