X	Y	Azimut	Elevation	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
82	350	0	90	47.95	182.99	155.42	76.07	71.64	15.06	56.60	54.76	3.46	15.82	0.84	0.036	14.36	5.79	0.40
82	340	0	90	46.38	181.89	153.97	78.29	73.29	15.39	56.42	52.18	3.35	15.57	0.84	0.036	14.32	5.62	0.39
82	330	0	90	44.69	184.95	156.61	78.82	74.43	15.69	56.20	54.31	3.08	17.64	0.84	0.037	14.68	5.74	0.39
82	320	0	90	46.10	182.77	154.38	80.71	75.73	15.98	56.12	50.92	3.20	15.92	0.83	0.036	13.49	5.08	0.38
82	310	0	90	47.41	179.60	151.99	80.14	74.24	15.69	54.84	50.52	3.24	15.59	0.83	0.036	13.39	4.96	0.37
82	300	0	90	45.91	179.24	152.23	77.22	72.44	15.38	53.39	53.41	3.10	17.25	0.84	0.035	12.83	4.55	0.35
82	290	0	90	45.07	173.84	146.87	76.81	72.43	15.48	52.78	48.64	2.96	16.43	0.83	0.033	12.01	4.05	0.34
82	280	0	90	48.04	176.98	149.94	76.67	72.45	15.53	52.93	51.60	3.00	17.21	0.84	0.034	11.70	4.14	0.35
82	270	0	90	45.96	181.04	154.27	76.02	71.13	15.36	52.49	57.42	2.84	20.23	0.84	0.036	12.60	4.30	0.34
82	260	0	90	43.82	175.27	149.82	74.93	69.27	15.01	51.68	54.32	3.04	17.86	0.84	0.035	12.57	4.11	0.33
82	250	0	90	42.31	173.85	147.84	70.96	67.64	14.74	51.32	54.89	2.67	20.56	0.84	0.034	11.59	3.92	0.34
82	240	0	90	40.48	164.25	139.77	71.57	66.38	14.53	50.45	47.42	2.83	16.75	0.83	0.032	10.16	3.25	0.32
82	230	0	90	39.35	162.51	137.79	69.04	65.61	14.38	49.26	47.64	2.72	17.53	0.84	0.030	9.73	3.15	0.32
82	220	0	90	42.55	168.54	143.62	71.24	66.72	14.62	49.63	52.20	2.71	19.27	0.84	0.033	9.96	3.26	0.33
82	210	0	90	44.48	181.32	155.80	75.69	69.57	15.24	51.18	60.57	2.96	20.48	0.84	0.037	11.33	3.58	0.32
92	210	0	90	38.96	161.51	136.82	70.14	66.09	14.49	48.71	46.71	2.64	17.72	0.84	0.030	9.35	3.08	0.33
92	220	0	90	39.65	157.72	134.50	68.75	63.65	13.94	47.63	46.44	2.77	16.75	0.83	0.031	9.29	3.03	0.33
92	230	0	90	41.30	157.25	134.36	66.39	61.35	13.40	47.21	48.69	2.77	17.57	0.84	0.031	10.05	3.11	0.31
92	240	0	90	40.43	155.12	132.08	65.90	61.62	13.46	47.63	45.88	2.78	16.49	0.84	0.031	10.15	3.22	0.32
92	250	0	90	36.89	160.28	136.79	66.58	62.06	13.45	48.48	49.74	2.75	18.09	0.84	0.032	10.04	3.54	0.35
92	260	0	90	40.42	161.87	138.01	67.52	63.50	13.69	49.11	49.26	2.84	17.35	0.84	0.032	10.83	3.60	0.33
92	270	0	90	47.64	173.96	149.25	70.94	66.00	14.18	50.29	57.67	3.07	18.81	0.84	0.036	10.71	3.87	0.36
92	280	0	90	44.24	167.84	142.90	71.84	67.03	14.33	50.50	50.30	2.83	17.75	0.84	0.033	11.16	3.63	0.33
92	290	0	90	39.52	161.05	136.27	72.66	67.44	14.38	50.16	43.45	2.66	16.36	0.83	0.030	10.62	3.47	0.33
92	300	0	90	47.27	164.54	139.95	73.28	67.65	14.37	50.62	46.27	3.12	14.84	0.83	0.033	9.51	3.49	0.37
92	310	0	90	43.34	158.91	133.92	74.49	68.57	14.53	51.53	38.82	3.17	12.26	0.82	0.030	9.47	3.49	0.37
92	320	0	90	43.69	168.11	142.34	75.49	69.85	14.77	52.68	45.59	3.05	14.93	0.83	0.033	12.23	4.28	0.35
92	330	0	90	43.26	170.20	144.35	74.14	68.62	14.51	52.54	49.04	2.93	16.72	0.84	0.033	14.77	4.80	0.32
92	340	0	90	40.03	170.34	144.52	70.61	66.61	14.05	52.50	51.23	3.08	16.66	0.84	0.034	14.62	5.14	0.35
92	350	0	90	44.25	165.39	140.40	68.32	64.63	13.63	51.89	48.87	3.17	15.41	0.84	0.033	13.11	4.90	0.37
92	360	0	90	39.55	159.38	134.29	66.81	63.92	13.51	51.46	44.01	2.99	14.72	0.84	0.030	14.27	4.61	0.32
92	370	0	90	39.85	153.85	129.32	67.44	63.81	13.55	51.82	38.21	2.92	13.07	0.83	0.028	11.54	3.82	0.33
92	380	0	90	40.68	159.00	133.95	70.22	66.17	14.19	52.57	40.26	3.08	13.09	0.83	0.030	11.04	3.79	0.34
92	390	0	90	43.65	166.10	140.49	70.93	67.02	14.44	53.11	45.98	3.24	14.20	0.83	0.032	10.93	4.22	0.39
92	400	0	90	44.23	163.46	138.58	72.18	66.76	14.48	52.70	44.00	3.35	13.12	0.83	0.032	10.26	4.10	0.40
92	410	0	90	44.33	169.21	144.29	71.14	65.91	14.37	52.24	51.05	3.21	15.92	0.84	0.034	14.44	4.87	0.34
92	420	0	90	42.22	169.72	145.05	68.94	64.25	14.07	51.07	54.40	2.87	18.98	0.84	0.035	13.74	5.07	0.37
92	430	0	90	38.53	160.87	137.20	64.26	60.61	13.32	49.05	51.21	2.60	19.71	0.84	0.032	15.76	4.67	0.30
92	440	0	90	35.76	156.34	133.53	60.62	57.53	12.66	47.52	51.28	2.60	19.70	0.85	0.031	14.94	4.51	0.30
92	450	0	90	39.91	149.94	128.37	59.80	55.76	12.22	46.83	47.35	2.85	16.60	0.84	0.030	11.50	3.59	0.31
92	460	0	90	35.87	151.89	130.30	60.93	56.38	12.41	47.25	48.25	2.76	17.46	0.84	0.029	9.66	3.30	0.34
92	470	0	90	39.24	149.48	127.14	62.45	58.82	12.97	47.92	42.74	2.78	15.38	0.84	0.028	7.70	2.77	0.36
102	470	0	90	32.25	139.46	118.39	57.62	54.53	11.93	45.56	39.38	2.79	14.10	0.83	0.026	8.93	2.60	0.29
102	460	0	90	40.25	135.25	115.59	56.41	51.94	11.32	44.50	38.81	2.87	13.54	0.83	0.027	8.39	2.90	0.35
102	450	0	90	30.11	138.60	117.99	55.46	52.54	11.49	44.42	41.64	2.54	16.42	0.84	0.027	12.31	3.33	0.27
102	440	0	90	36.24	147.38	126.15	58.45	54.47	11.91	45.51	47.41	2.62	18.13	0.84	0.030	13.62	3.90	0.29
102	430	0	90	43.31	155.86	133.73	62.01	57.83	12.66	47.47	50.57	2.90	17.44	0.84	0.032	13.19	4.16	0.32
102	420	0	90	39.75	156.93	133.72	65.90	61.29	13.42	49.12	46.52	3.03	15.38	0.84	0.032	11.48	4.15	0.36
